Created_at,Place,User,Text
2021-11-12 08:17:17+00:00,,Wondering Woman 🇮🇳,"#JustAsking
If beating India was the victory of Islam,
The losing to Australia is the loss of ????
😎😎😎
If tab 'Kufr toota tha' to aaj kya 'kufr' bahal ho gaya???
😎😎😎
#IndVsPak #PAKVSAUS"
2021-11-12 08:13:47+00:00,,Tushar,"Is This true?? @AskAnshul @PIBFactCheck @TheRealPCB @GovtofPakistan @PakPMO ?? 
@GooglePay Kar du 100 rupiye??
Sad , Pakistan don't have @UPI_NPCI Too..
#IndVsPak #AUSvsPAK #PAKVSAUS #Australia #India https://t.co/CvFkx4KTnH"
2021-11-12 07:20:00+00:00,,Asad Mahmood,"Congratulations on winning the semifinal of #ICCT20WorldCup2021  on the very first day by winning from india #IndVsPak and Final from new Zealand #PakvsNz.
You are our proud tigers.
Godspeed"
2021-11-12 07:17:23+00:00,,Pakistan memes,"@vamsiaussie2 @pijush_simplyme @KARTHIK40360865 @ESPNcricinfo Bro you people mocked Pakistan way before the IndvsPak match, and we mocked you after winning that match, even legends like Harbhajan, Sehwag, Kohli mocked Pakistan team before that match. 

That's the difference."
2021-11-12 07:09:51+00:00,,Ďk DHïNeSH,"@Gaurav57668785 @bhogleharsha #IndVsPak 
India lost because of not took just 10 wickets, otherwise match was theirs"
2021-11-12 07:08:52+00:00,,Ayush Ranjan,@SanaNaa71868341 @DMKIRAN 12-1 remember and ind defeated pak in 2019 world cup with highest margin ever in indvspak in world cup ok english samjh aai ki hindi me likhu😂
2021-11-12 07:08:35+00:00,"Place(_api=<tweepy.api.API object at 0x00000211D1E18308>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000211D1E18308>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})",Ankit Samaiya,"Indian fan reaction on #PAKVSAUS match!! Clever replies!!
We support #sportsmanship #IndVsPak 
#MaukaMuka 
@ICC @TheRealPCB @BCCI https://t.co/xW7jx9lNYX"
2021-11-12 07:08:34+00:00,,I Love Stock Market,"@iihtishamm Beta, ek match jeetkar apney aap ko India se behtar samajhane lagey??? We are waiting for next INDvsPAK ... Kutton ki tarah peetogey... And you guys very well knows the level of Indian cricket and Pakistan cricket... Still badi badi phenktey ho."
2021-11-12 07:01:47+00:00,,Ayush Ranjan,@maheenn_s @theprayagtiwari 12-1 remember india also defeated pak in 2019 with highest margin ever in indvspak
2021-11-12 06:44:44+00:00,,L E E N A ~ 🐼,"@TanishaBatra80 It wasn't indvspak that she supported she wasn't in the ground in indvspak match , and tum log to bhae Apne captain aur team se khush ni hote #SaniaMirza  ka kya qasoor 😅😅😅"
2021-11-12 06:29:12+00:00,,Adil,I wish we had more #INDvsPAK games of cricket. #BilateralSeries
2021-11-12 06:26:46+00:00,,Adithyan Adi,"Always stay humble in your success or else KARMA will do it's job💯
#PAKvAUS 
#worldcup2021 
#IndVsPak https://t.co/hJeESbY8ym"
2021-11-12 06:12:47+00:00,,Ravi Gupta,You should have seen people burning crackers alongside children crying right in one place. #IndVsPak https://t.co/XpCO5W46Hj
2021-11-12 06:00:06+00:00,,Mohsin Rasheed,"Dekho Bhai #Babar Azam and Company
Hamara world cup 24 October ko 152-0 pe khatam ho gya tha. 
The rest was bonus entertainment. Thank you for that 
#PakistanZindabad #IndVsPak #T20WorldCup"
2021-11-12 05:59:39+00:00,,Lingam Nalla,@mianahsen56 Feeling 12-1 🤫😉 #ICC #T20WorldCup #India #IndVsPak https://t.co/H751l4CTXM
2021-11-12 05:44:25+00:00,,No one,Sania Mirza posted on Instagram she will disappear or not watching the #IndVsPak match 😂
2021-11-12 05:23:45+00:00,,Sanjay42,@ippatel If it was win of Islam in #IndvsPak then it is loss of Islam in #AusvsPak
2021-11-12 05:22:36+00:00,"Place(_api=<tweepy.api.API object at 0x00000211D1E18308>, id='141221f1fc400000', url='https://api.twitter.com/1.1/geo/id/141221f1fc400000.json', place_type='city', name='Srinagar', full_name='Srinagar, Jammu & Kashmir', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000211D1E18308>, type='Polygon', coordinates=[[[74.745721, 34.047924], [74.921669, 34.047924], [74.921669, 34.202896], [74.745721, 34.202896]]]), attributes={})",Farhan Farooq,"To all these bhakts celebrating over the loss of pakistan,take a look over here.Your nightmare for next 100 decades.
#IndVsPak https://t.co/g7yRqI32x8"
2021-11-12 05:08:14+00:00,"Place(_api=<tweepy.api.API object at 0x00000211D1E18308>, id='173c2bb9d42baaa5', url='https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', place_type='country', name='Sri Lanka', full_name='Sri Lanka', country_code='LK', country='Sri Lanka', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000211D1E18308>, type='Polygon', coordinates=[[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]), attributes={})",Abdul Thawwab Ishaque,"Great attitude

#AUSvPAK #PAKVSAUS #PAKvAUS #AUSvsPAK #byebyePakistan #IndVsPak #INDvsNZ #indiancricket #IndianCricketTeam #PakistanCricket #India #Pakistan https://t.co/uKYFxcbInN"
2021-11-12 05:07:14+00:00,,Amrit Singh,"@RuchikaTalwar @HarounRashid2 It is definitely not an indvspak, LOI cricket between these neighbors was never a big deal."
2021-11-12 04:56:32+00:00,,Fake D'Souza,"@AKTKadmin Yaha bhi 😂😂 Initially mere ko laga chhat puja ke bache huye patakhe hai, later on saw the scorecard 😂😂 didn't watch any match after indvspak."
2021-11-12 04:56:12+00:00,,M.Zahaib Nabeel,When you are sad but suddenly you remember something 😉 We love our team they are semifinalist despite the world tried it’s best to take away cricket from us . #PAKVSAUS #TeamPakistan #PAKvAUS #Pakistan #fixed #IndVsPak #PakVsInd #ICCT20WorldCup #SemiFinals @PakistanisinDxb https://t.co/hrPigba5h0
2021-11-12 04:52:13+00:00,,Ramakrishna Maiya Bijoor Charkodlu,@asamadkk @KhanPthan6 @iihtishamm @iShaheenAfridi that you should have told in IndvsPak match
2021-11-12 04:39:48+00:00,,Piyush Chuttar,"Whatever the situations between us doesn't matter you should proud of them. They really did a great job ..

But whatever i have enjoyed my lunch between 12pm - 1pm😅
@TheRealPCB #IndVsPak #T20WorldCup https://t.co/7erGWdliTM"
2021-11-12 04:35:12+00:00,,Choi Beomgyu,@total_woke_ Moreover they were caught celebrating Karva Chauth afte INDvsPAK
2021-11-12 04:31:26+00:00,,suman kumar mahanta,"It's a game.#Pakistani fans now it's ur time to understand.Don't attack by personally ,bodyshaping &amp; religion.
This #Hasan_Ali took the wicket of our inform 360 deg man @surya_14kumar .That's the turing point of #IndVsPak match.
Otherwise pakistan had no chance to win against us."
2021-11-12 04:29:32+00:00,,𓆩 𝐇 ᑌ ᑎ 𝐊 𓆪,Oh then what happened #IndVsPak .?! https://t.co/Typl04UkBZ
2021-11-12 04:19:18+00:00,,Rishabh Maggo,@ImRo45  in an interview dhawan bhaji told us you used to forget things wherever you play our neighbour's are coming let them know if you forgot something at dubai 🤪 #indvspak  #T20WorldCup
2021-11-12 04:05:08+00:00,,आकृति शाह,"Pic 1: ICT fans during #IndVsPak 
Pic 2: ICT fans during #AUSvsPAK https://t.co/JXDULhcf4N"
2021-11-12 03:52:45+00:00,,Aswin Karthik P,"Lessons from #T20WorldCup
Never mix religion with sports, politics and governance. One off day and everything will be questioned #PAKVSAUS #IndVsPak #maukamauka #ICC #BCCI"
2021-11-12 03:51:49+00:00,,Dip,#AUSvsPAK Boys played well But why the fuck Pak players pray in play ground #indvspak and why the politicians/cricketers appreciate?
